"x","10%","20%","30%","40%","50%","60%","70%","80%","90%"
-11,-3.703878,-2.472268,-1.581022,-0.775401,0.00192231,0.7676658,1.591456,2.549986,3.83039
-10.96,-3.70612,-2.480208,-1.581086,-0.7688094,-0.00325969,0.763884799999999,1.588484,2.550388,3.829496
-10.92,-3.705136,-2.490408,-1.585288,-0.7672486,-0.0137761,0.766922799999999,1.584274,2.554882,3.836952
-10.88,-3.69537,-2.491288,-1.589772,-0.7776904,-0.0188625,0.775637399999999,1.578306,2.548818,3.832848
-10.84,-3.684788,-2.482682,-1.593664,-0.7731362,-0.0218979,0.781992799999999,1.577684,2.545992,3.829806
-10.8,-3.683862,-2.486388,-1.598108,-0.7711048,-0.024378,0.782536799999999,1.582646,2.54398,3.832852
-10.76,-3.686178,-2.497602,-1.591592,-0.7758168,-0.0147425,0.7790912,1.581248,2.544592,3.827976
-10.72,-3.695492,-2.510048,-1.594118,-0.7693196,-0.0148707,0.773809399999999,1.582838,2.54405,3.834586
-10.68,-3.70305,-2.508824,-1.59678,-0.7690292,-0.0169459,0.777497599999999,1.580506,2.547332,3.840196
-10.64,-3.705434,-2.496646,-1.60193,-0.7721586,-0.0140424,0.780326,1.580988,2.551332,3.833512
-10.6,-3.71121,-2.487386,-1.58845,-0.7771564,-0.0211407,0.7680174,1.572408,2.540664,3.830612
-10.56,-3.71481,-2.485112,-1.58772,-0.7738714,-0.0195674,0.7730878,1.583182,2.538192,3.828128
-10.52,-3.72628,-2.483004,-1.59343,-0.7692108,-0.0240381,0.7733212,1.5853,2.534894,3.830712
-10.48,-3.728262,-2.482052,-1.583722,-0.7863844,-0.0271205,0.780095199999999,1.591648,2.537748,3.832118
-10.44,-3.726908,-2.484182,-1.578796,-0.7830866,-0.0291937,0.7788428,1.595782,2.540414,3.84142
-10.4,-3.723366,-2.481538,-1.578496,-0.7799022,-0.0244223,0.774631199999999,1.598052,2.53357,3.845502
-10.36,-3.733062,-2.47683,-1.576384,-0.7753788,-0.024775,0.7730622,1.594894,2.5326,3.847342
-10.32,-3.737876,-2.480382,-1.58865,-0.7780814,-0.03492,0.7676542,1.595238,2.52873,3.843432
-10.28,-3.747928,-2.478964,-1.585802,-0.7787696,-0.0375906,0.7639228,1.594484,2.525892,3.851924
-10.24,-3.7409,-2.48336,-1.581374,-0.789301,-0.029184,0.768026399999999,1.593184,2.531458,3.84696
-10.2,-3.738894,-2.481818,-1.571876,-0.781709,-0.0278161,0.7704438,1.596164,2.533922,3.847586
-10.16,-3.729058,-2.487628,-1.56263,-0.7781556,-0.0270364,0.762603,1.593062,2.5255,3.849956
-10.12,-3.73955,-2.491632,-1.563968,-0.7791596,-0.0248696,0.766024199999999,1.591004,2.534458,3.845494
-10.08,-3.738958,-2.493306,-1.569302,-0.7780546,-0.0245109,0.7581118,1.581244,2.53964,3.832802
-10.04,-3.734648,-2.500278,-1.563366,-0.7708594,-0.0187174,0.7532546,1.57581,2.535682,3.848854
-10,-3.724042,-2.504066,-1.562378,-0.778947,-0.0153795,0.752599199999999,1.57332,2.532558,3.847722
-9.96,-3.726874,-2.509952,-1.564394,-0.7710498,-0.0204425,0.7548208,1.5694,2.532612,3.858242
-9.92,-3.73927,-2.514092,-1.562842,-0.7674598,-0.022459,0.7527332,1.570144,2.528086,3.859432
-9.88,-3.751938,-2.521664,-1.56465,-0.75874,-0.0258058,0.7577138,1.567654,2.523972,3.855516
-9.84,-3.734744,-2.516422,-1.56188,-0.7575838,-0.0178195,0.7504308,1.56838,2.511176,3.850654
-9.8,-3.751072,-2.517794,-1.56855,-0.7574756,-0.0205592,0.7495318,1.57221,2.516824,3.855106
-9.76,-3.752512,-2.520756,-1.56718,-0.7579744,-0.0138328,0.7507324,1.578684,2.511858,3.862204
-9.72,-3.756876,-2.52868,-1.568428,-0.7559214,-0.00883577,0.756411,1.570474,2.508976,3.855722
-9.68,-3.763056,-2.532488,-1.566454,-0.7563092,-0.0073253,0.761853599999999,1.571542,2.504714,3.845462
-9.64,-3.761534,-2.540392,-1.562436,-0.7510932,-0.0113421,0.756860199999999,1.568922,2.514494,3.856752
-9.6,-3.769074,-2.54344,-1.564702,-0.748694,-0.0192396,0.749499999999999,1.566938,2.50719,3.858638
-9.56,-3.772932,-2.549682,-1.564236,-0.7461724,-0.0152694,0.7569188,1.571128,2.506676,3.851932
-9.52,-3.763594,-2.541954,-1.561706,-0.745306,-0.00913714,0.76613,1.568058,2.509492,3.848248
-9.48,-3.772108,-2.539458,-1.5586,-0.7488544,-0.00286579,0.7699482,1.56221,2.508634,3.84547
-9.44,-3.78118,-2.53362,-1.563572,-0.7549932,-0.00656629,0.7657266,1.560088,2.500854,3.85238
-9.4,-3.781748,-2.532922,-1.562938,-0.7484154,0.00625705,0.770964,1.555454,2.496904,3.865508
-9.36,-3.783646,-2.538022,-1.554414,-0.7465172,0.0055215,0.764806799999999,1.556946,2.491714,3.86674
-9.32,-3.787424,-2.535678,-1.551358,-0.7468256,0.00413772,0.7581578,1.550476,2.49183,3.86361
-9.28,-3.793358,-2.541216,-1.560168,-0.7442048,0.00249114,0.7553076,1.553278,2.483104,3.861792
