method,=,sample,(Default)
sample
num_samples,=,1
num_warmup,=,0
save_warmup,=,0,(Default)
thin,=,1,(Default)
adapt
engaged,=,0
gamma,=,0.050000000000000003,(Default)
delta,=,0.80000000000000004,(Default)
kappa,=,0.75,(Default)
t0,=,10,(Default)
init_buffer,=,75,(Default)
term_buffer,=,50,(Default)
window,=,25,(Default)
algorithm,=,hmc,(Default)
hmc
engine,=,nuts,(Default)
nuts
max_depth,=,10,(Default)
metric,=,diag_e,(Default)
metric_file,=,(Default)
stepsize,=,0.10000000000000001
stepsize_jitter,=,0,(Default)
id,=,0,(Default)
data
file,=,(Default)
init,=,div.init.R
random
seed,=,48396939
output
file,=,output.csv,(Default)
diagnostic_file,=,(Default)
refresh,=,100,(Default)


Gradient,evaluation,took,0,seconds
1000,transitions,using,10,leapfrog,steps,per,transition,would,take,0,seconds.
Adjust,your,expectations,accordingly!


Iteration:,1,/,1,[100%],(Sampling)
BEGINNING,TRAJECTORY
-1.75455,0.0441276,-0.203819,0.0288563,0.063362,-0.10777,0.260802,0.0582302,0.0152607,-0.135545,-0.00442727,-7.30183e-05,-0.143926,-0.11621,0.143255,-0.147407,-0.0235713,0.027312,-0.0519563,-0.0157063,0.161182,0.0538359,-0.06004,0.0139297,-0.128804,0.194009
-2.03355,0.0735087,-0.339526,0.0480694,0.10555,-0.179525,0.434449,0.0970011,0.0254215,-0.225794,-0.00737504,-0.000121635,-0.239754,-0.193585,0.238637,-0.245553,-0.0392655,0.0454968,-0.0865498,-0.0261639,0.2685,0.0896809,-0.100016,0.0232043,-0.214564,0.323183
-2.03798,0.0599698,-0.276992,0.039216,0.0861094,-0.14646,0.354432,0.0791353,0.0207394,-0.184207,-0.0060167,-9.92324e-05,-0.195596,-0.15793,0.194684,-0.200327,-0.0320336,0.0371172,-0.070609,-0.021345,0.219047,0.0731634,-0.0815948,0.0189305,-0.175045,0.263659
-1.93688,0.0111048,-0.0512913,0.00726173,0.0159451,-0.0271205,0.0656311,0.0146537,0.00384037,-0.0341102,-0.00111413,-1.83751e-05,-0.0362191,-0.0292444,0.0360502,-0.037095,-0.00593174,0.00687309,-0.0130749,-0.00395252,0.0405616,0.0135479,-0.0151091,0.00350542,-0.0324136,0.0488225
-2.06612,-0.0431042,0.199092,-0.028187,-0.0618924,0.10527,-0.254753,-0.0568797,-0.0149067,0.132402,0.00432459,7.13248e-05,0.140588,0.113515,-0.139932,0.143988,0.0230246,-0.0266785,0.0507512,0.0153421,-0.157444,-0.0525872,0.0586475,-0.0136066,0.125816,-0.189509
-2.24654,-0.0704515,0.325405,-0.0460703,-0.10116,0.172059,-0.416381,-0.0929669,-0.0243643,0.216404,0.00706832,0.000116577,0.229783,0.185534,-0.228712,0.235341,0.0376325,-0.0436047,0.0829503,0.0250758,-0.257333,-0.0859511,0.0958563,-0.0222393,0.20564,-0.309742
-1.94324,-0.0348184,0.160821,-0.0227687,-0.049995,0.0850346,-0.205783,-0.0459459,-0.0120413,0.10695,0.00349329,5.76142e-05,0.113563,0.0916941,-0.113033,0.116309,0.0185986,-0.0215502,0.0409955,0.0123929,-0.127179,-0.0424785,0.0473739,-0.010991,0.101631,-0.15308
-1.7836,0.017785,-0.0821465,0.0116301,0.0255372,-0.0434353,0.105113,0.0234689,0.00615061,-0.0546297,-0.00178435,-2.9429e-05,-0.0580073,-0.0468368,0.0577369,-0.0594102,-0.00950009,0.0110077,-0.0209403,-0.00633023,0.0649622,0.0216978,-0.0241983,0.00561417,-0.0519126,0.0781925
-1.84571,0.0640895,-0.29602,0.0419099,0.0920248,-0.156522,0.37878,0.0845716,0.0221641,-0.196862,-0.00643002,-0.000106049,-0.209033,-0.168779,0.208058,-0.214088,-0.0342342,0.039667,-0.0754595,-0.0228114,0.234095,0.0781894,-0.0872001,0.020231,-0.18707,0.281771
-1.87919,0.0846927,-0.391183,0.055383,0.121609,-0.20684,0.500548,0.111759,0.0292893,-0.260148,-0.00849712,-0.000140142,-0.276232,-0.223038,0.274944,-0.282913,-0.0452396,0.052419,-0.099718,-0.0301447,0.309351,0.103325,-0.115233,0.0267348,-0.247209,0.372354
-1.65104,0.0689806,-0.318611,0.0451084,0.0990478,-0.168467,0.407687,0.0910258,0.0238556,-0.211885,-0.00692074,-0.000114143,-0.224985,-0.18166,0.223937,-0.230427,-0.0368468,0.0426943,-0.0812184,-0.0245522,0.25196,0.0841565,-0.0938549,0.021775,-0.201347,0.303275
-1.45206,0.0345272,-0.159476,0.0225783,0.0495769,-0.0843235,0.204062,0.0455616,0.0119406,-0.106056,-0.00346407,-5.71324e-05,-0.112613,-0.0909272,0.112088,-0.115337,-0.0184431,0.02137,-0.0406526,-0.0122893,0.126115,0.0421233,-0.0469777,0.0108991,-0.100781,0.1518
-1.45766,-0.00622711,0.0287621,-0.00407209,-0.00894139,0.0152081,-0.0368033,-0.00821721,-0.00215353,0.0191276,0.000624759,1.03041e-05,0.0203102,0.0163991,-0.0202155,0.0208014,0.00332629,-0.00385416,0.00733186,0.00221641,-0.0227453,-0.0075971,0.00847261,-0.0019657,0.0181762,-0.0273777
-1.70216,-0.0458322,0.211692,-0.029971,-0.0658096,0.111933,-0.270876,-0.0604796,-0.0158502,0.140781,0.00459829,7.58389e-05,0.149485,0.120699,-0.148789,0.153101,0.0244818,-0.028367,0.0539633,0.016313,-0.167408,-0.0559155,0.0623593,-0.0144678,0.133779,-0.201503
-2.08358,-0.0716448,0.330917,-0.0468506,-0.102873,0.174973,-0.423433,-0.0945415,-0.024777,0.220069,0.00718804,0.000118551,0.233675,0.188676,-0.232586,0.239327,0.0382699,-0.0443432,0.0843552,0.0255005,-0.261692,-0.0874069,0.0974798,-0.022616,0.209123,-0.314989
-2.16475,-0.0512236,0.236594,-0.0334966,-0.0735509,0.1251,-0.30274,-0.067594,-0.0177147,0.157342,0.0051392,8.47601e-05,0.16707,0.134897,-0.166291,0.17111,0.0273617,-0.0317039,0.0603111,0.018232,-0.187101,-0.062493,0.0696948,-0.0161696,0.149516,-0.225206
-2.16108,0.00807927,-0.037317,0.00528327,0.0116009,-0.0197315,0.0477499,0.0106613,0.00279406,-0.0248168,-0.000810584,-1.33688e-05,-0.0263512,-0.0212767,0.0262283,-0.0269885,-0.00431564,0.00500052,-0.00951261,-0.00287565,0.0295106,0.00985674,-0.0109927,0.00255037,-0.0235825,0.0355208
-2.3894,0.0612944,-0.28311,0.0400821,0.0880114,-0.149695,0.36226,0.0808832,0.0211975,-0.188276,-0.00614959,-0.000101424,-0.199916,-0.161418,0.198984,-0.204751,-0.0327411,0.037937,-0.0721685,-0.0218165,0.223886,0.0747794,-0.0833971,0.0193487,-0.178911,0.269483
-2.12875,0.0415933,-0.192113,0.0271991,0.059723,-0.101581,0.245824,0.054886,0.0143842,-0.127761,-0.00417301,-6.88248e-05,-0.13566,-0.109536,0.135027,-0.138941,-0.0222176,0.0257434,-0.0489723,-0.0148043,0.151925,0.050744,-0.0565918,0.0131297,-0.121406,0.182866
