# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=4938483
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# diagnostic_file=output/hmc_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,p_a,p_b,p_sigma,g_a,g_b,g_sigma
-5.24678,0.966271,0.25,3,15,0,7.19854,-1.19047,2.62229,0.332751,1.81005,0.78964,-0.0608028,-0.828791,2.98396,1.69098
-5.24678,0,13.5298,0,1,1,9.8868,-1.19047,2.62229,0.332751,-1.43653,0.88866,-2.53509,-0.828791,2.98396,1.69098
-5.24678,0,2.24537,0,1,1,5.40298,-1.19047,2.62229,0.332751,0.09474,-0.547996,0.0558314,-0.828791,2.98396,1.69098
-3.04285,0.989905,0.21918,3,15,0,8.51219,1.26557,-1.24812,-0.845784,2.44496,-2.11567,-0.696242,-2.59235,-5.10604,-2.55777
-2.02899,1,0.286162,2,3,0,3.08151,1.17937,-1.05026,-0.637576,0.163166,-1.1485,-0.871418,-0.964912,-3.19455,-1.00523
-1.45124,1,0.445082,2,3,0,2.00963,1.38279,-0.720796,-0.386826,0.181244,0.932584,0.46283,1.23929,-0.8643,0.451825
-1.45124,1.07942e-07,0.754962,1,2,1,5.65948,1.38279,-0.720796,-0.386826,-1.13157,2.52433,-0.873957,1.23929,-0.8643,0.451825
-3.99504,0.988908,0.059961,5,31,0,6.14583,2.01964,0.408422,0.488533,0.277042,1.64695,1.22979,2.65949,1.04828,1.56898
-3.78908,0.997614,0.103335,4,31,0,5.46109,2.21816,-0.1904,0.196768,0.141031,1.61807,0.84023,3.09494,0.686377,0.34278
-4.30999,0.968131,0.188653,3,7,0,5.97048,0.95921,-1.35669,-0.746058,-1.57793,-0.528236,-0.743027,-4.04612,-6.36202,-5.40949
-3.4636,1,0.319283,1,1,0,4.46044,1.04516,-1.34022,-0.639239,0.68898,0.85217,0.890386,-2.62955,-5.01493,-3.48172
-3.66555,0.407046,0.602883,2,3,0,5.05125,1.00193,-1.56537,-0.353588,-0.415979,-0.888126,-1.34521,-1.61785,-4.18515,-2.89079
-3.53912,0.898753,0.176389,3,15,0,8.70707,0.387858,-0.861307,-0.707414,0.947182,-3.07039,-0.107152,-4.55785,-5.80701,-5.70001
-4.50993,0.923059,0.24473,3,7,0,5.44652,0.325332,2.19646,0.553744,0.613022,-0.816761,-0.911194,0.917914,2.78904,1.9639
-2.25425,0.550964,0.366585,2,3,0,7.49481,0.714598,1.09413,0.414529,0.181481,-2.14365,-2.41928,1.18621,1.56573,1.78157
-2.06458,0.994746,0.173031,3,15,0,3.18591,0.115212,1.3852,0.315603,-1.34489,0.104905,-0.650339,0.525994,1.79599,1.56266
-1.68884,0.95863,0.324015,3,7,0,4.14809,-0.932118,1.41999,-0.823496,-2.21398,0.0687014,0.109865,-2.1797,0.172411,-0.107191
-1.68884,0.00793209,0.539504,1,1,0,2.5183,-0.932118,1.41999,-0.823496,0.547908,0.554566,1.02527,-2.1797,0.172411,-0.107191
-0.324313,0.998385,0.0500475,5,63,0,2.48336,0.319332,0.177891,-0.970144,-1.96168,0.405144,-0.552961,-1.28841,-1.42985,-0.227683
-3.29589,0.90655,0.0948085,4,31,0,6.79261,-1.30288,1.33613,0.540066,1.57876,-1.40698,-1.58788,-1.53884,1.10016,2.78108
-0.292178,0.988911,0.135345,4,23,0,3.53833,0.337451,0.498163,-0.98396,-1.5948,1.15104,1.61989,1.10611,1.26682,0.0571789
-0.725559,0.945196,0.245258,3,11,0,1.69164,0.557006,-0.246994,-0.808747,-0.749817,1.07766,-0.456727,-1.55083,-2.35483,-0.683066
-0.366916,0.890022,0.387338,2,3,0,1.35286,0.727677,0.0010222,-0.794043,1.08866,0.687847,-0.559978,0.730142,0.00348675,0.204315
-1.12185,0.223858,0.517297,2,3,0,1.38865,0.941934,0.345719,-0.518079,-0.237269,0.169098,0.669862,2.51869,1.92247,-0.527311
-1.34112,0.996544,0.100847,4,15,0,2.03039,-0.356098,0.156018,-0.451481,-1.11004,0.204071,0.323581,-2.64606,-2.13395,-1.72035
-2.17945,0.986895,0.183903,4,15,0,2.48485,0.015675,1.60454,-0.0532014,-0.0346936,0.614649,-0.481463,1.00784,2.59671,0.0140279
-3.20679,0.893391,0.323081,3,7,0,4.19206,-1.11241,-0.375904,0.655634,-1.17575,0.431974,-0.633677,-1.70972,-0.973206,2.38695
-3.98153,0.995595,0.432406,2,3,0,4.55636,-1.67688,-0.115545,0.364562,-0.567503,-0.909683,0.00891978,-2.89266,-1.33132,-0.991249
-2.18205,0.666667,0.765581,1,3,0,3.9731,-0.708037,0.0921954,0.598208,1.69205,0.391575,-0.752155,-1.11431,-0.314075,2.76219
-2.08232,1,0.541309,1,1,0,2.44163,-0.66953,0.115243,0.579542,-0.361261,-0.120301,0.757381,-1.07194,-0.287166,2.67093
-0.789713,0.333333,0.959116,1,3,1,2.05566,0.749772,-0.103822,-0.000138954,-1.1597,0.139162,1.08057,0.667503,-0.186091,0.992956
-4.05355,0.868776,0.275318,3,7,0,5.25246,0.370661,1.99341,0.57294,-1.49659,-0.326833,0.226346,0.890776,2.51352,2.29437
-0.855773,0.99283,0.341248,3,7,0,4.81751,0.937605,-0.429911,-0.289069,0.660383,2.56342,0.957196,0.544514,-0.823003,0.474264
-0.793371,0.841064,0.58712,2,7,0,1.26746,0.186097,-0.0219988,0.134414,-0.624737,0.70316,-0.251873,-0.245029,-0.453125,1.06523
-0.935739,0.742046,0.669703,2,5,0,1.31812,-0.172511,0.492157,0.198472,-0.385724,0.69492,-0.364784,-0.447209,0.217459,1.37504
-1.05528,0.93639,0.587536,2,3,0,2.02673,-0.317199,0.589808,0.211342,-1.29117,-0.448156,0.273783,-0.615739,0.291268,1.39004
-1.05528,0.0924282,0.857502,1,2,1,3.57459,-0.317199,0.589808,0.211342,-1.83137,-0.118237,1.29257,-0.615739,0.291268,1.39004
-0.261784,0.998957,0.14,3,15,0,1.5094,0.354056,0.240378,-0.644617,0.963219,-0.352596,-1.2013,-0.131501,-0.245178,0.210533
-0.568253,0.981727,0.241166,2,7,0,0.779729,0.781798,0.190454,-0.674603,-0.562338,0.312904,0.0939161,1.72248,1.13114,0.0298668
-1.63519,0.829557,0.394264,3,7,0,2.07693,0.763522,-0.904652,-0.262462,0.2409,-0.55439,0.719778,-0.705924,-2.3741,-0.685827
-1.98412,0.73678,0.435326,2,7,0,3.04934,-0.114098,-0.375791,0.608091,0.30945,-1.30644,0.57263,-0.475089,-0.736783,2.93456
-1.98412,0.651205,0.380174,1,1,0,2.89388,-0.114098,-0.375791,0.608091,0.0581421,-0.207562,-1.33157,-0.475089,-0.736783,2.93456
-1.04832,0.96813,0.268742,3,7,0,3.75228,0.0250898,0.986672,-1.2826,1.93273,1.12703,0.634265,3.71239,4.67397,-0.968687
-0.431842,0.346863,0.418231,2,6,1,0.609674,-0.172579,0.834997,-1.49983,-0.160352,-0.261079,-0.511654,-1.49333,-0.485757,-0.0370734
-0.390805,0.997661,0.140548,3,7,0,0.474804,-0.113346,0.752566,-1.46892,-0.294776,0.282126,-0.0388638,-1.79276,-0.926849,-0.0964467
-0.761988,0.631502,0.234613,2,7,0,4.93346,-0.203377,0.240948,-0.309966,0.504913,-0.524707,2.79512,-1.48711,-1.04279,-0.348597
-0.308063,0.996733,0.160145,3,15,0,1.28655,0.52174,0.125427,-0.590812,-1.32711,-0.0575493,0.438695,0.257616,-0.138698,0.285379
-0.787986,0.955717,0.264525,2,7,0,1.76482,0.402722,0.619818,-1.19056,-0.963009,0.180011,-0.99693,3.58663,3.80373,-0.844718
-1.0865,0.968653,0.39339,2,7,0,1.86488,0.760053,-0.624389,-0.35431,-0.540471,0.2357,-1.09959,-0.443489,-1.82793,-0.220814
-1.0865,0.140905,0.599966,1,3,0,4.39818,0.760053,-0.624389,-0.35431,-2.5267,-0.18106,-0.454284,-0.443489,-1.82793,-0.220814
-1.11802,0.920392,0.129305,3,15,0,5.47934,1.11014,-0.270753,-2.15313,-1.46813,-1.00025,-2.35939,9.35605,7.97517,-0.903356
-1.11802,9.14304e-08,0.176407,2,3,0,5.49512,1.11014,-0.270753,-2.15313,2.7478,0.657576,-0.878282,9.35605,7.97517,-0.903356
-1.23962,0.999871,0.0281691,4,15,0,1.34527,1.07335,-0.467048,-2.15021,-0.448378,-0.00878638,-0.100936,-7.91379,-9.45419,-1.08188
-0.43079,0.999467,0.0464356,5,39,0,1.53574,0.718739,0.0778166,-2.12029,-0.252496,1.44904,0.215493,5.46624,4.82532,-0.31014
-1.44563,0.914255,0.0759751,5,31,0,1.6074,0.500798,0.320792,-2.83585,0.133866,-0.483001,-0.268953,27.6342,27.4542,-2.53066
-1.44563,1.46755e-33,0.101689,1,1,0,5.53367,0.500798,0.320792,-2.83585,-1.05695,-2.65652,0.0430386,27.6342,27.4542,-2.53066
-0.938765,0.996424,0.0170543,3,15,0,2.12525,0.413614,0.232531,-2.75029,-0.806077,-0.810991,1.03223,-19.6751,-19.8562,-1.64421
-1.41574,0.999989,0.0276162,7,255,0,2.25665,-0.785552,1.42872,-1.32752,0.361677,0.555951,-1.11442,-1.99509,0.219185,-0.0325455
-2.27854,0.991171,0.0448044,4,15,0,4.09238,-1.11773,1.76038,-1.55565,-1.57404,-1.071,-0.05522,-3.0383,-0.160193,-0.119757
-2.47067,0.989305,0.0708499,5,31,0,3.80695,-0.983108,1.88076,-0.514782,0.659314,-1.17846,0.92147,-0.508651,2.35522,0.276762
-1.35907,0.998708,0.110948,4,31,0,3.47326,0.428445,-0.659488,0.194814,1.48522,-1.39282,-0.287318,-0.221257,-1.30919,0.853211
-0.67265,0.990242,0.176408,4,15,0,1.88837,0.732638,0.315572,-0.33968,0.36707,-0.664177,1.36219,1.3639,0.946837,0.304927
-1.05754,0.975637,0.273821,2,3,0,1.12451,0.838256,0.472857,-0.368978,0.10402,0.342738,-0.075147,2.05752,1.69212,-0.232637
-1.91839,0.810064,0.409607,2,7,0,2.33831,0.180444,-0.857021,0.383496,0.570472,0.543483,0.467993,-0.471944,-1.50941,1.23682
-0.281459,0.641257,0.426332,2,3,0,2.5402,0.336,0.414472,-0.642882,0.373195,1.77766,-1.10368,0.416581,0.495053,0.274644
-0.423441,0.47098,0.308516,2,4,1,2.56192,0.74516,-0.102864,-1.76487,-0.965095,0.343308,1.79658,-2.18529,-3.03332,-0.222411
-0.430519,0.791901,0.155683,4,15,0,1.65995,0.796937,0.0367253,-1.3036,-0.329978,-1.05882,-1.10855,2.22718,1.46697,-0.0771018
-1.6729,0.914247,0.156594,4,15,0,2.19566,1.55167,-0.479709,-0.65565,-0.441178,-0.307459,0.869677,2.82737,0.795995,-0.169071
-1.95405,0.916133,0.203976,4,31,0,5.10917,-0.819934,0.945872,-0.895428,2.14465,-1.29936,-0.149697,-4.43021,-2.66441,-2.0075
-1.16298,0.6677,0.265958,3,7,0,3.72965,-0.466507,0.152693,0.00515853,0.0491617,1.81829,-1.35083,-1.49782,-0.878622,-0.0642699
-1.76543,0.967344,0.205632,3,7,0,2.26091,0.144295,0.187833,0.616136,-0.863541,-0.0643414,0.491044,0.02879,0.0723282,3.38326
-0.793428,0.965162,0.297348,2,3,0,2.30852,0.149452,0.0810552,0.160401,-0.0488122,0.317464,1.71085,-0.211654,-0.280051,1.19851
-0.80049,0.339495,0.426334,1,3,0,3.84623,0.990616,0.0432531,-0.665141,1.51541,-0.344328,-1.91741,2.14671,1.19934,-0.0889841
-0.8157,0.999274,0.167935,5,31,0,1.03588,-0.0934585,0.026904,-0.0140159,-0.447066,0.489436,0.0308063,-0.910802,-0.79044,0.322773
