# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=4938483
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# diagnostic_file=output/hmc_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,p_a,p_b,p_sigma,g_a,g_b,g_sigma
-1.03824,9.27004e-231,0.944623,1,1,0,3.06101,0.461386,0.771025,0.00982392,-0.296905,1.58218,1.20586,0.955791,1.26543,0.770556
-1.31297,0.998168,0.123239,4,31,0,2.74379,0.180517,1.10271,0.0460314,1.23351,-1.15663,-0.0479359,0.686727,1.60892,0.815474
-1.46038,0.994976,0.211172,3,7,0,2.08784,-0.853405,1.16723,-0.412664,0.641311,0.562033,0.72648,-1.79926,0.221379,0.0461588
-0.875119,0.477718,0.355996,1,3,0,3.24799,-0.490373,0.985592,-1.0037,-1.41575,0.376965,1.61223,-2.22465,-0.748681,-0.269708
-0.487566,0.946823,0.162461,3,11,0,2.6231,0.156629,0.244176,-0.145439,1.56489,-0.377502,1.29603,-0.281291,-0.193744,0.604235
-0.438313,0.994786,0.241449,3,15,0,0.743445,0.187948,0.689092,-0.618798,0.394846,0.300133,0.603556,0.70106,1.2022,0.213707
-1.88777,0.64547,0.401688,2,6,1,3.19885,0.909888,-0.473682,0.495067,0.621255,-1.35046,0.642217,0.801407,-0.582164,2.65992
-4.44674,0.977733,0.281205,3,7,0,4.64761,1.05283,-1.93417,-0.112755,0.159344,0.274644,-0.54857,-0.963849,-3.95085,-2.4478
-7.37326,0.852903,0.444944,3,7,0,8.37359,2.76967,-0.931364,-0.79165,0.245817,1.09249,0.864111,8.17701,4.47597,-5.79743
-7.37326,0.0256783,0.516922,2,5,1,8.55394,2.76967,-0.931364,-0.79165,-0.332442,-1.49491,-0.126874,8.17701,4.47597,-5.79743
-4.14961,1,0.0819226,5,31,0,7.91902,-1.11395,-0.983042,0.715697,-1.81843,1.9504,-0.654273,-1.7891,-1.65819,2.2771
-3.25827,0.999955,0.136517,3,7,0,4.28753,-1.08807,-0.637654,0.405806,-0.616189,-1.10361,0.678882,-2.17796,-1.72754,-0.422965
-1.09166,0.977982,0.225869,3,7,0,3.78547,0.93695,0.272518,-0.731036,-1.1972,-0.75865,1.83814,3.01359,2.34915,-0.767672
-0.673389,0.926339,0.352411,2,3,0,1.97061,0.704806,0.302762,-0.226626,-1.16348,-0.620179,0.925278,1.14438,0.742332,0.512755
-1.02282,0.929187,0.484305,2,7,0,1.55841,-0.54779,1.02666,-0.267777,-0.378912,-0.929436,-0.25249,-0.973741,0.600705,0.479142
-1.13623,0.490987,0.667136,1,3,0,1.68173,-0.0262254,0.768432,0.259744,0.787764,-0.646169,0.229981,-0.0178916,0.776766,1.68105
-0.274078,0.671935,0.332386,2,5,1,2.55375,0.550345,0.212308,-0.81973,0.675926,-1.01194,-1.75455,0.72788,0.389842,0.187968
-0.274078,0.630429,0.253137,2,7,0,9.35813,0.550345,0.212308,-0.81973,-3.87697,-1.59362,-0.773009,0.72788,0.389842,0.187968
-0.635774,0.89601,0.175947,3,7,0,3.44585,-0.0557224,0.484397,-1.17366,2.13374,0.981231,-0.323269,-3.18798,-2.64786,-0.842552
-0.443541,0.891193,0.224327,3,7,0,1.39749,-0.173903,0.777393,-1.11948,-0.502223,-1.22619,-0.390045,-1.3441,-0.392805,-0.0393624
-0.424023,0.55026,0.282041,2,7,0,0.67681,-0.0241953,0.620275,-1.59185,-0.404985,0.28807,0.508505,-3.21296,-2.56849,-0.379856
-0.645949,0.923978,0.164748,5,31,0,1.47502,0.463353,-0.168791,-0.0997359,-0.43899,1.13367,0.424508,-0.0660078,-0.698152,0.589615
-2.30665,0.979274,0.222565,3,7,0,2.75092,1.48481,-0.0213739,-0.692073,-0.586853,0.293225,0.676864,4.41945,2.91327,-1.90712
-0.47576,0.961005,0.338553,3,7,0,4.12639,0.674271,0.129686,-0.379866,2.53567,-0.396824,-0.845069,0.836225,0.291639,0.455522
-1.11417,0.778796,0.492202,2,7,0,1.77373,-0.539171,0.512442,0.0912321,0.458007,-0.152026,1.04223,-1.16818,-0.116572,0.725313
-0.943925,0.879452,0.478231,2,3,0,1.82853,-0.287612,0.129531,0.00634026,-1.23393,-0.272556,-0.415138,-1.16272,-0.745578,0.237172
-1.01531,0.333685,0.578495,2,3,0,4.65988,1.20375,-0.519831,-0.593786,2.27182,-0.930148,-1.12374,1.05856,-0.66502,0.298532
-1.4019,0.969919,0.214534,4,15,0,1.94324,-0.527191,0.842126,-1.15404,0.760049,-0.397462,-0.589082,-4.68255,-3.31323,-1.61779
-0.502964,0.8,0.315926,2,5,0,2.09041,-0.21459,0.78671,-0.715486,-1.1265,0.196558,-1.36647,-0.867417,0.133883,0.137186
-0.782639,0.893006,0.322093,2,7,0,3.79117,0.152407,0.0388035,-0.761551,-1.5115,1.93163,-0.034853,-2.31044,-2.42404,-1.10448
-2.7403,0.797237,0.400055,2,3,0,3.32556,1.20522,-0.0272949,0.690193,0.262066,-0.0768567,-1.04687,1.31832,0.0858032,3.92557
-1.12938,1,0.404804,2,3,0,2.80628,0.908021,-0.6652,-0.465264,-0.541585,-0.334711,-1.71711,-0.322817,-1.89604,-0.203073
-0.429381,1,0.627277,2,3,0,1.36007,0.444769,0.288951,-0.274613,-0.894361,0.744963,-0.711703,0.454338,0.29852,0.577344
-0.429381,1.25778e-17,0.967376,1,3,1,3.08368,0.444769,0.288951,-0.274613,2.22154,0.546909,-0.272484,0.454338,0.29852,0.577344
-0.207283,0.992979,0.185412,2,7,0,1.71732,0.367646,0.293088,-0.897576,0.236356,-0.000554113,1.72169,-0.0385006,-0.113059,0.138703
-0.568319,0.927989,0.282295,2,7,0,0.788958,0.143751,0.166613,-0.815886,-0.511873,-0.170002,0.387766,-1.99259,-1.96973,-0.697049
-1.0526,0.715515,0.374296,2,4,1,3.83873,-0.450503,1.25218,-2.03678,-1.76751,-0.0158162,-1.56459,3.86749,5.57017,-0.300262
-1.0526,5.74262e-12,0.320204,1,3,1,2.04132,-0.450503,1.25218,-2.03678,0.920757,-1.01785,-0.305989,3.86749,5.57017,-0.300262
-1.17439,0.955207,0.0638399,5,47,0,2.92933,1.20014,-0.266217,-0.121956,0.976449,-0.994777,1.25174,1.46269,-0.00366194,0.729542
-0.460073,0.99769,0.0897135,5,31,0,1.69915,0.316663,0.595444,-1.2031,-0.127201,-1.56617,0.0953166,2.35657,2.63535,-0.285004
-0.531361,0.993903,0.13687,3,11,0,0.740873,0.123373,0.417531,-1.5825,-0.406315,-0.32595,0.384304,-4.3133,-4.01914,-0.788739
