# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=4938483
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# diagnostic_file=output/hmc_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,p_a,p_b,p_sigma,g_a,g_b,g_sigma
-8.05467,1,0.25,2,3,0,14.6823,2.13081,1.6472,1.01656,1.02439,1.131,-3.30557,2.53011,2.0465,6.42012
-8.05467,0,14.3855,0,1,1,8.15988,2.13081,1.6472,1.01656,-0.0351941,0.236979,0.391192,2.53011,2.0465,6.42012
-8.05467,0,2.43117,0,1,1,8.28672,2.13081,1.6472,1.01656,-0.308306,-0.267356,-0.545503,2.53011,2.0465,6.42012
-6.59754,1,0.239791,2,3,0,8.38891,1.99523,1.74829,0.654285,-0.902321,0.114257,-1.65997,2.80999,2.56305,1.24411
-3.97369,0.96706,0.324332,2,3,0,6.83446,1.5174,1.23929,0.273622,-1.70689,-1.66491,-0.190105,2.69097,2.41285,-0.652085
-3.63978,1,0.459761,2,3,0,4.2326,1.27099,1.36126,0.341746,-1.0491,-0.268602,0.113581,2.23226,2.32253,0.150474
-3.03102,0.602538,0.780544,1,1,0,4.5837,0.512408,1.26876,0.681239,1.27706,0.718886,0.978618,0.781996,1.53835,3.62199
-3.02406,0.916046,0.404665,2,3,0,3.91519,0.587617,1.63644,0.126972,-0.167824,0.342711,-1.27931,1.74801,2.79683,-0.446687
-0.339722,0.905085,0.564983,2,3,0,3.96269,0.329036,0.234258,-0.391789,-0.448645,-2.446,-1.0304,-0.0319815,-0.126759,0.397237
-0.339722,1.31156e-277,0.776462,1,1,0,6.98724,0.329036,0.234258,-0.391789,3.49061,0.784217,-0.704064,-0.0319815,-0.126759,0.397237
-0.530272,0.999367,0.0616442,4,31,0,0.6807,0.335168,-0.0461914,-0.606348,0.213095,-0.295933,-0.409719,-1.14172,-1.52308,-0.351285
-0.367037,0.996757,0.116383,3,15,0,1.34134,0.651031,-0.0235486,-0.650154,1.36941,0.179881,-0.202397,0.281369,-0.393211,0.235218
-1.92796,0.955732,0.219185,3,15,0,2.88839,1.68786,-0.89413,-0.845609,-0.120564,-1.3776,-0.0924543,2.04344,-0.53855,0.160993
-0.366621,0.948807,0.363241,2,7,0,3.97715,0.236738,0.194813,-0.803161,1.62646,-2.13264,-0.165823,-1.24187,-1.28379,-0.237997
-0.366621,0.0805596,0.588311,2,3,0,1.11094,0.236738,0.194813,-0.803161,0.273823,1.11906,0.401703,-1.24187,-1.28379,-0.237997
-0.821397,0.995532,0.0644581,4,31,0,1.41266,0.782645,0.363591,-0.244733,0.638915,0.0763843,0.876633,1.46465,1.0456,0.327846
-1.70615,0.996419,0.121826,4,31,0,2.55789,1.42439,-0.00963692,-0.127185,0.786773,-1.01953,0.212221,2.30982,0.875787,0.167506
-0.69706,0.991791,0.229317,3,7,0,2.5782,-0.00710047,0.421347,0.0607783,-1.88512,-0.351247,-0.291924,-0.285115,0.143332,1.04197
-0.51942,0.982937,0.422255,3,7,0,0.905447,0.369223,-0.0861072,-0.3521,-0.737573,-0.164991,0.448128,-0.53083,-0.98616,0.0939086
-1.02,0.723365,0.750652,2,3,0,1.06472,0.790671,0.483288,-0.504183,-0.296807,0.015655,-0.0330856,2.28667,1.97929,-0.451648
-1.26589,0.529721,0.610177,2,3,0,3.00278,-0.198314,0.364545,0.398103,-1.4874,-0.993905,0.52304,-0.45178,0.111079,2.07467
-1.12697,0.51447,0.280913,2,7,1,3.59165,-0.13574,0.28745,-0.893743,-0.79613,-0.415998,2.03039,-3.5799,-3.15671,-1.81813
-2.7985,0.903326,0.125362,4,15,0,4.75752,-0.426253,-0.106371,-0.582052,-0.298593,0.0427474,-1.95629,-4.46472,-4.14484,-4.77958
-3.56108,0.995068,0.175703,3,7,0,4.39229,1.38707,0.425325,-0.700427,-0.928312,0.277779,-0.850586,5.78747,4.82573,-4.52453
-4.34162,0.80851,0.319077,3,7,0,7.67971,1.65837,-1.33732,0.706011,-1.11677,-2.02342,1.15533,1.55917,-1.43652,4.06385
-2.16868,0.384898,0.336691,3,9,0,6.21684,1.58234,-0.662176,0.156727,0.515803,-2.09309,1.85721,1.72266,-0.521861,1.34121
-0.653003,0.99857,0.10693,4,31,0,3.49182,-0.121716,0.529671,-1.08389,-1.15688,1.75464,-1.12273,-2.92025,-2.26887,-0.781776
-0.431707,0.993252,0.194114,4,15,0,1.81747,0.531485,-0.0559049,-0.952846,-0.153374,-0.4342,-1.59984,-1.16712,-1.75451,-0.280374
-0.58764,0.923773,0.343764,2,7,0,2.01293,-0.116837,0.960688,-0.952455,-0.629488,1.56213,0.118631,0.660224,1.73775,0.0589651
-0.58764,0.000471034,0.497732,2,3,0,1.74815,-0.116837,0.960688,-0.952455,0.774835,1.30919,-0.0817409,0.660224,1.73775,0.0589651
-0.425379,0.999953,0.0571375,5,63,0,1.22668,0.461613,-0.0379945,-0.445891,-0.629766,1.01583,-0.417237,-0.281393,-0.781001,0.183622
-0.439806,0.999906,0.102638,5,31,0,0.575956,0.212802,0.50509,-0.273203,-0.1385,0.340658,-0.370229,0.195006,0.487294,0.578844
-0.559631,0.994473,0.182583,5,31,0,0.786261,0.184849,0.780596,-0.755798,-0.588876,-0.0823711,0.315755,1.26053,1.85628,-0.0346464
-0.40659,0.984517,0.317121,4,15,0,0.698373,0.727743,0.00408208,-0.63026,-0.476244,-0.24976,-0.542567,0.740543,0.0168821,0.28346
-1.38606,0.561029,0.531684,2,5,1,2.39663,1.23982,-0.60677,-0.0776174,-0.663075,0.958056,-0.814612,1.12871,-0.717888,0.845642
-3.22043,0.977003,0.290333,3,7,0,3.40675,2.13821,-1.0582,-0.343496,-0.0731122,-0.336972,-0.503735,2.83753,-0.358882,0.257055
-2.28675,0.913863,0.473712,2,7,0,4.57447,1.6349,-0.489712,0.218643,1.51351,-1.25228,-0.846494,1.90418,-0.220426,1.43621
-1.38746,0.807306,0.651346,2,3,0,3.48124,1.11985,0.307086,-0.281071,-0.666834,1.87545,0.474946,2.34573,1.53297,-0.286585
-1.38746,6.66393e-05,0.677771,1,2,1,4.87467,1.11985,0.307086,-0.281071,2.56797,-0.16266,0.594553,2.34573,1.53297,-0.286585
-1.50221,0.997691,0.0900404,4,15,0,2.54301,0.887882,0.581932,0.207447,1.24499,0.451238,-0.572696,1.37765,1.0717,1.15099
-3.61945,0.986032,0.15382,3,7,0,3.80445,1.18319,1.41582,0.202053,0.53803,-0.139495,-0.247128,2.43209,2.66472,-0.838491
-4.07856,1,0.253135,3,7,0,4.58428,1.51098,1.24796,0.530522,-0.0580999,0.885653,-0.472945,2.21381,1.95079,1.46212
-2.20196,0.467043,0.428134,2,7,0,4.88032,0.730628,1.08767,0.377801,-2.0887,-0.716833,-0.692949,1.24268,1.59972,1.5707
-1.27,0.99254,0.192173,3,11,0,3.05087,-0.7352,1.14069,-0.364442,-1.27013,-0.833804,-1.1195,-1.4041,0.471789,0.266588
-0.70496,1,0.317273,3,7,0,1.45583,-0.150201,0.706698,-0.0792671,-0.945781,0.732444,0.266028,-0.351396,0.505502,0.818849
-0.708877,0.978292,0.529582,2,3,0,0.953878,0.0517698,0.771528,-0.106205,-0.13294,0.429913,0.536195,0.169378,0.889136,0.797449
-0.708877,0.00331258,0.832587,1,2,1,2.04985,0.0517698,0.771528,-0.106205,-0.848178,-1.40089,-0.00583632,0.169378,0.889136,0.797449
-0.738615,0.757827,0.124626,4,31,0,1.6635,-0.390873,1.07969,-0.954432,0.570711,0.0455346,1.23369,-0.656469,0.814099,0.137791
-0.765518,0.967085,0.116113,4,31,0,5.00483,-0.102927,0.0841686,-0.0652827,0.920139,-1.98305,1.9234,-0.954061,-0.766965,0.241841
-1.25941,0.993801,0.17789,3,15,0,1.61255,0.131795,-0.512592,-0.0165678,-0.763469,0.264549,-0.231096,-1.01456,-1.65895,-0.303892
