# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=4938483
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# diagnostic_file=output/hmc_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,p_a,p_b,p_sigma,g_a,g_b,g_sigma
-5.94104,0.998908,0.125,3,7,0,9.3038,-0.472521,-1.51357,1.07011,1.60447,0.220434,-2.02548,-0.7918,-1.83285,7.63468
-5.94104,0,14.357,0,1,1,7.20809,-0.472521,-1.51357,1.07011,-0.313613,-0.654239,1.41694,-0.7918,-1.83285,7.63468
-5.94104,0,2.42492,0,1,1,6.75078,-0.472521,-1.51357,1.07011,-0.00363057,-0.922508,0.876606,-0.7918,-1.83285,7.63468
-6.18888,0.992275,0.239094,3,7,0,7.85125,-0.567011,-1.96678,0.241239,1.04503,1.33221,0.676673,-2.58048,-3.98026,-4.94784
-2.62058,1,0.316264,2,3,0,5.99546,-0.0336987,-0.81026,0.688022,0.922735,2.07345,-1.26456,-0.430786,-1.20735,3.33493
-5.47356,0.99703,0.494046,2,7,0,7.27421,-2.11384,0.139591,0.804532,0.739825,1.65437,-0.563064,-2.65453,-0.401099,3.53695
-5.47356,0,0.832773,1,1,0,6.37356,-2.11384,0.139591,0.804532,0.0266083,0.580701,1.20916,-2.65453,-0.401099,3.53695
-2.7066,0.999601,0.0662486,5,31,0,7.09279,-1.23266,0.700415,0.522727,2.82567,0.886986,0.0353704,-1.67574,0.257331,2.28621
-3.00132,0.999787,0.118187,4,15,0,3.32526,-1.39842,0.940204,0.482987,0.148408,-0.598523,0.517334,-1.84998,0.488641,2.09161
-3.19374,0.987537,0.217395,4,15,0,4.33411,-1.47991,0.325987,0.109316,0.394129,-1.25812,-0.736574,-2.99241,-1.18652,-1.60233
-2.18055,0.525115,0.391288,2,7,0,5.40713,0.717618,0.163328,0.669251,-2.51071,-0.373469,-0.100071,0.757675,0.203385,3.80721
-3.9912,0.990727,0.164818,3,15,0,6.99483,-0.789597,2.30784,-0.487815,1.94037,-0.746179,1.29825,1.30628,4.40372,-1.27889
-2.65714,0.851757,0.304246,3,7,0,5.98332,-1.37788,1.05926,0.239753,0.126546,2.50768,-0.589837,-2.02595,0.411193,0.936867
-7.24909,0.571986,0.363416,3,7,0,8.0185,-2.52254,-0.613723,0.719497,0.759861,-0.97028,-0.141358,-3.43906,-1.53024,0.674592
-7.98081,0.748102,0.181778,2,5,0,11.2648,-2.07651,-0.360962,-0.0267164,2.14104,1.28602,-0.574527,-5.41593,-3.70038,-9.62351
-5.95679,0.913986,0.158738,3,15,0,11.3087,-0.41692,0.332039,1.22431,-3.03767,-1.16907,0.331117,-0.48718,0.261779,11.5153
-1.73634,0.877775,0.231988,2,3,0,7.75297,-0.528023,0.164967,0.502249,0.371315,0.692955,3.37864,-0.92767,-0.23468,2.29442
-1.67911,0.948033,0.302497,3,7,0,3.27037,0.948631,0.398022,-0.856103,0.695168,1.62853,0.217164,4.3756,3.82499,-1.93897
-0.2493,0.822928,0.486783,2,7,0,0.32925,0.596724,0.181135,-1.27457,-0.0926143,0.280608,-0.26941,1.23223,0.816638,0.0465874
-0.2493,6.05228e-10,0.534323,2,3,0,2.52856,0.596724,0.181135,-1.27457,0.954879,-1.84866,-0.478734,1.23223,0.816638,0.0465874
-1.80161,0.981928,0.0503976,5,31,0,2.64104,0.755744,-0.686119,-0.851022,-0.16598,-0.765516,1.03213,-2.85661,-4.29848,-2.19668
-1.58879,0.999086,0.0902007,4,23,0,2.59774,0.633717,0.194183,0.503001,-0.154338,1.24334,0.669457,0.670177,0.230643,2.73101
-0.274982,0.737783,0.168251,3,13,1,2.22345,0.44297,0.144409,-1.2774,-0.326905,0.00350231,-1.94681,-1.36917,-1.66773,-0.177473
-0.461287,0.951903,0.145384,3,15,0,0.69666,0.368577,0.459618,-2.01048,0.0644759,-0.341227,0.591737,5.94403,6.03507,-0.539605
-0.461287,0.226703,0.233515,1,3,1,1.7252,0.368577,0.459618,-2.01048,-0.495312,0.336328,-1.47288,5.94403,6.03507,-0.539605
-0.622799,0.991219,0.0468682,4,27,0,0.957849,0.282141,0.365336,-2.5297,0.264149,0.304009,0.712673,-12.4308,-12.3476,-1.01983
-1.0037,0.372083,0.0843298,2,5,0,2.27123,0.442077,0.367204,-2.76962,0.099196,-0.835021,-1.35202,21.0772,21.0023,-1.66927
-0.173702,0.944117,0.0264006,4,23,0,2.92944,0.318168,0.422304,-3.03754,-1.0053,-1.84806,1.0419,5.65667,5.76081,-0.0632345
-0.913152,0.873044,0.0414676,6,63,0,1.48636,1.09301,-0.404362,-2.84721,0.618796,0.397576,0.778096,-10.6597,-12.1571,-0.461387
-0.218169,0.952679,0.0531267,6,63,0,1.3012,0.448848,0.338952,-1.35292,-0.919092,0.604689,0.977587,1.34092,1.23102,0.0136441
-0.649629,0.896536,0.0843056,4,27,0,2.5036,0.308923,0.540216,-0.0550968,-0.590623,-0.125922,1.82845,0.443955,0.675248,0.87933
-0.996733,0.998808,0.113989,4,31,0,1.58261,1.25705,-0.555864,-1.16776,-0.709561,-0.317808,0.753171,0.97795,-0.834967,0.0892224
-1.31584,0.997311,0.202003,4,15,0,2.18143,-0.737691,0.891672,-0.525198,-0.0598432,-0.856695,0.996835,-2.37924,-0.749882,-0.592805
-0.301587,0.939055,0.353233,3,7,0,2.28639,0.634653,0.100917,-0.830577,-0.140874,1.9829,-0.13367,0.673477,0.139741,0.189633
-0.533578,0.53755,0.524545,2,4,1,1.58553,0.299981,0.465989,-0.138444,-0.729766,0.560695,1.12115,0.349807,0.515816,0.756257
-1.43953,0.985595,0.269315,3,7,0,1.94731,1.16562,-0.598243,0.0654288,0.289147,-0.830135,-0.49278,1.02452,-0.739339,1.11711
-0.379677,0.728105,0.449646,2,5,0,3.58233,0.543163,0.167077,-0.415431,-1.49717,1.67375,-1.1672,0.50195,0.125864,0.434933
-0.520901,0.927844,0.382409,2,3,0,0.998106,0.183588,0.0834386,-0.18176,0.3976,0.757767,0.471289,-0.47975,-0.579899,0.389314
-2.07153,0.369137,0.544547,2,3,0,3.10752,0.969613,0.928555,0.065756,0.90015,1.01984,0.470763,1.99541,1.95435,-0.0595992
-1.02801,0.999888,0.185642,4,15,0,2.56485,-0.186155,-0.0290046,-0.216371,-1.03748,-1.01246,-0.986025,-1.64032,-1.48317,-0.723062
-0.453376,0.990663,0.317178,2,7,0,1.48049,0.193852,0.151501,-0.252704,1.26799,0.645718,-0.17169,-0.44077,-0.483121,0.3603
-0.351511,0.64841,0.525241,2,7,1,0.488654,0.361717,0.151404,-0.404384,-0.351413,-0.086866,0.378481,-0.121154,-0.331467,0.341554
-1.65741,0.847754,0.367837,3,7,0,2.19032,-0.137312,0.711514,0.511441,0.560967,0.844709,0.193878,-0.192682,0.656145,2.77267
-1.35169,0.936252,0.424016,3,7,0,2.90858,0.447634,-0.538269,-0.507752,1.14706,-0.791471,-1.08241,-1.81296,-2.79886,-1.48883
-1.51571,0.797776,0.60618,2,3,0,1.96161,0.70671,-0.204871,0.451959,0.221861,0.911733,0.106378,0.615041,-0.29654,2.44851
-1.51571,0.0814339,0.614998,1,1,0,4.16795,0.70671,-0.204871,0.451959,1.19152,1.60974,-1.13732,0.615041,-0.29654,2.44851
-2.5908,0.986025,0.110013,3,7,0,3.22574,0.617423,-0.237858,0.775699,-0.467902,-0.116088,1.01856,0.54353,-0.311751,4.6923
-0.461551,0.985779,0.177558,2,7,0,3.61804,0.269144,0.0515236,-0.307119,0.641051,-0.667358,2.33595,-0.48407,-0.70169,0.234097
-0.412476,0.940604,0.284494,3,7,0,1.44621,0.039296,0.497558,-0.343515,0.781179,0.751101,0.945024,-0.341055,0.117207,0.430291
-0.478484,0.964934,0.406839,2,7,0,1.48507,-0.00766113,0.428934,-0.943194,0.297923,0.155855,-1.37845,-2.03197,-1.59537,-0.469688
-0.478484,0.0383159,0.613126,1,3,1,1.98848,-0.00766113,0.428934,-0.943194,-1.07038,-1.31939,0.365335,-2.03197,-1.59537,-0.469688
-0.643748,0.973394,0.104959,4,31,0,1.97518,0.845879,0.127481,-0.447447,-0.310396,-1.3667,0.835848,1.44581,0.727416,0.261569
-0.755039,0.989012,0.161849,3,15,0,1.38089,0.626287,-0.310129,-0.103646,-0.556088,-0.789828,0.564473,0.119338,-0.817077,0.6039
-0.80204,0.955438,0.257268,4,15,0,1.33228,-0.463939,0.979904,-0.845041,0.26179,-0.0230338,0.995696,-1.61422,-0.170372,-0.05962
-2.53664,0.323316,0.376315,2,6,1,3.1063,-0.618339,1.79224,0.142344,0.140989,-0.299672,-1.01471,-0.283055,2.12753,1.17991
-3.34069,0.993568,0.12946,5,31,0,4.02737,-1.25836,1.59335,0.457593,-0.387483,-0.925116,-0.60612,-1.41581,1.4359,2.43533
-2.53935,0.995993,0.206322,4,15,0,4.47032,-0.319193,1.83208,0.00580472,-1.58672,0.297742,1.12053,0.456441,2.60771,0.403045
-2.20341,0.968797,0.328681,3,7,0,3.5169,0.646915,-0.785813,-0.713232,1.58089,-0.118467,-0.337215,-2.96362,-4.39635,-2.89051
-1.57505,1,0.48981,2,3,0,2.57402,0.990578,-0.898336,-0.039381,0.62754,0.158789,1.25655,0.302509,-1.58641,0.486679
