"data$x_predict","X10.","X20.","X30.","X40.","X50.","X60.","X70.","X80.","X90."
-11,18.334022237728,20.2364416362468,21.4917815901758,22.5692023185511,23.5826807627923,24.6046910055889,25.5689250401165,26.8114393229049,28.5090064643568
-10.96,18.5318418996048,20.4017770927952,21.6382184585305,22.7071469897342,23.7164447972617,24.7187153288899,25.6631982633281,26.8962787371748,28.5726026081243
-10.92,18.7290755542262,20.5678058940682,21.7845954829235,22.8240580813546,23.8340660681865,24.8196124289919,25.7658357324044,26.9909354492311,28.6323924835901
-10.88,18.9145447286034,20.7445511468709,21.9362141259887,22.9652970724136,23.956973565347,24.9302766173926,25.8667645257982,27.0568345771483,28.70850591111
-10.84,19.1034554304002,20.9137201987346,22.0781691834055,23.0954304772393,24.0653913523265,25.0316249745898,25.9599806683523,27.132653301235,28.7646328494319
-10.8,19.3006446440659,21.0670142527319,22.2282915502061,23.218780369341,24.1738145200872,25.1405774453492,26.0558045302031,27.2074839902577,28.8109687272975
-10.76,19.4713121354756,21.2266775020016,22.3712012444368,23.3342214606259,24.2815179581833,25.2319272186557,26.1350698585119,27.3095480036094,28.8542182766193
-10.72,19.6162632149218,21.3590318334051,22.5232205276475,23.4766245507514,24.4015420681248,25.3165368323494,26.2229288620872,27.3867518387528,28.8968722969113
-10.68,19.7785856029248,21.5044192139083,22.6529922670181,23.5931847291169,24.5133337406311,25.4247063544778,26.3105868306112,27.4632449301381,28.9465032806501
-10.64,19.946654288561,21.6295065740782,22.7980473882973,23.7162732960675,24.6308137315506,25.5294598350203,26.403376274888,27.5345496062091,29.0120669934855
-10.6,20.1375158444652,21.7595097933301,22.9266752075951,23.8407302695091,24.7491845576759,25.6192402019959,26.4826272821475,27.6074851920512,29.0658789340169
-10.56,20.2867909220764,21.8954960742528,23.0512722507361,23.9542849571371,24.8526316501526,25.6972988923257,26.5607948902838,27.6820964730603,29.1247029916102
-10.52,20.4498296040804,22.0359315069848,23.1658548959224,24.0631798903178,24.9575140282324,25.786192416284,26.6440588010481,27.7549358055006,29.1666970144438
-10.48,20.6286583341045,22.1732936514273,23.2848299073998,24.1670278459597,25.064932983895,25.872572683039,26.7253572907688,27.8137220458399,29.1986821364618
-10.44,20.7845771767619,22.3202792553168,23.4019228706951,24.2757214444557,25.1560291291879,25.9530441370317,26.7978312985237,27.8814131003657,29.2466196575807
-10.4,20.9323379074581,22.4394834088362,23.5076042714721,24.3673077425207,25.2608566098078,26.0425716189835,26.864212197764,27.9375933770036,29.2705310255052
-10.36,21.0593856373494,22.5724637584854,23.6194801385397,24.4697986628032,25.3499208030848,26.1213329126111,26.9272507598593,27.9815558825309,29.3104696172499
-10.32,21.2124859087108,22.7038911984715,23.7416872306116,24.5835580830629,25.4442266731436,26.2003829565792,26.9881841135869,28.0426431482029,29.3648920177253
-10.28,21.359568881211,22.8050259543385,23.8563938246456,24.671715860647,25.530074192919,26.2802801987564,27.0569857348072,28.0817033120423,29.4147467592779
