3       0.066404  1.95525
3       0.074883  1.83628
3       0.110956  1.76923
3       0.186124  1.78759
3       0.27331 1.82196
3       0.337006  1.78364
3       0.37171 1.65833
3       0.409879  1.53129
1       0.485729  1.50123
1       0.588855  1.54051
0       0.727681  1.40858
2       0.772433  1.26554
2       0.85048 1.21604
2       0.958072  1.25022
2       1.05254 1.24691
4       1.10861 1.13476
4        1.15135 0.987904
4        1.22051 0.916286
4       1.32091 0.93107
4        1.41947 0.947284
4        1.48312 0.878598
4        1.51677 0.741579
4        1.55361 0.620168
4       1.61726 0.56196
4        1.70466 0.557451
4         1.7924 0.562429
4        1.85468 0.528118
4        1.88225 0.439952
4        1.88666 0.323769
4        1.88762 0.210338
4        1.89989 0.111245
5         1.92828 0.0223238
5          1.96801 -0.0649229
5          2.0069 -0.153764
5         2.02845 -0.235065
5         2.01726 -0.287618
5         1.96813 -0.297191
5         1.89311 -0.279143
5         1.81643 -0.267153
5        1.76157 -0.29037
5         1.73996 -0.367772
5         1.74185 -0.497879
5         1.73055 -0.608819
5         1.66828 -0.573347
5         1.58664 -0.495828

5         1.53597 -0.509893
5         1.52586 -0.643127
5         1.50751 -0.764671
5         1.42635 -0.639423
5         1.36649 -0.602313
5         1.36038 -0.750085
5         1.34053 -0.858151
5         1.25005 -0.640043
5         1.23002 -0.676298
5         1.26962 -0.944388
