0       1.45474 1.04077
1        1.1875 0.97963
1        1.03497 0.901232
2       0.970669  1.05363
2       0.960584  1.35722
2       0.897331  1.50682
2       0.743945  1.39783
3        1.47335 0.763915
3        1.50067 0.515423
3        1.59545 0.395118
3        1.75619 0.377151
3        1.94108 0.400118
3         2.0941 0.384776
3        2.17518 0.276253
3         2.17892 0.0923566

4         2.12158 -0.112333
4        2.01794 -0.29717
4         1.87447 -0.434749
4         1.69972 -0.517552
4         1.51703 -0.593873
4          1.3493 -0.732209
4         1.18028 -0.882026
4         0.97035 -0.841722
4       0.803726 -1.02106
4       0.602608 -1.00136
4       0.438539 -1.20854
4        0.178623 -0.690693
4        0.26625 -1.47655
4       0.00736742    1.17846
4       0.0280587   4.61789

4        1.50214 -13.2297
