# stan_version_major = 2
# stan_version_minor = 23
# stan_version_patch = 0
# model = funnel_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 0
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.20000000000000001
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 48393939
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25
# Adaptation terminated
# Step size = 0.2
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-60.0668,0.983079,0.2,7,127,0,71.6538,5.28362,-0.489868,0.698494,5.93006,1.22623,-1.48295,5.88405,-3.79446,-3.50774,-3.88695,15.6088,5.15718,-6.4441,0.334049,-11.7195,10.895,-4.46178,-13.9752,-5.61792,-0.516161,9.18039,1.63542,-0.459822,-0.66483,4.23402,0.185259
-42.7072,0.796741,0.2,7,127,0,66.6279,3.62233,-1.29096,-1.39945,-2.77974,-3.09658,1.41013,-3.04889,0.759027,5.08491,1.81283,-4.96584,-4.59991,3.47659,-4.18917,6.10335,-2.11381,0.564923,7.96884,4.73257,0.661187,-1.82283,-3.56214,0.625872,-1.62622,-2.11892,1.28539
-39.0803,0.93677,0.2,6,63,0,51.4424,3.19998,-3.50953,1.01488,-5.57067,1.15811,1.82672,-4.59559,0.56257,3.49658,3.30402,-1.34298,3.41153,0.0532667,-3.8549,6.97733,1.28962,3.78297,-0.505908,1.53422,-0.573106,3.74757,-2.01838,0.281852,2.37087,1.04283,1.59969
-39.7455,0.958726,0.2,6,63,0,49.5824,3.07374,-3.49099,5.67249,-4.28713,0.423687,-0.82991,-2.12651,0.757439,3.5418,3.25912,-1.3471,5.87663,0.0635392,-5.71515,3.85588,-2.99642,2.64144,-1.21785,0.0689,-0.68264,3.59798,-2.98448,-1.56601,2.02529,-3.04903,-0.708603
-42.4418,0.19277,0.2,4,25,1,50.0133,4.26562,-3.89368,6.47062,-5.32559,0.998898,-1.27396,-3.15762,0.272426,3.38349,2.62835,-0.992589,5.1521,-0.852989,-5.00112,4.09765,-1.11961,1.93353,-1.27823,-0.88512,-0.458852,3.77444,-1.97505,-1.36012,2.16117,-4.34667,-1.77179
-40.0001,0.246282,0.2,3,14,1,54.0879,3.23695,-3.79889,6.36404,-5.42659,1.30253,-1.3894,-2.76483,0.4814,3.57572,2.48956,-1.31059,4.86368,-0.528447,-5.15889,3.84048,-1.20803,2.06923,-1.45673,-0.985211,-0.236383,3.78463,-2.05756,-1.25431,2.25691,-4.05924,-1.67108
-39.4506,0.956753,0.2,6,63,0,52.1733,2.7904,1.61537,-1.17866,8.00784,-3.23388,0.24495,5.12177,2.40352,-1.68375,-0.468135,2.66032,-5.98217,0.277862,2.22416,-3.75221,2.2718,-2.23848,0.775177,-1.69212,0.780195,-4.74162,1.48127,1.83041,-0.309023,0.890936,2.29122
-41.5508,0.272792,0.2,4,23,1,50.9734,3.94852,0.0752106,-1.83252,7.5676,-2.88386,-0.191211,3.92945,2.11482,-2.09151,-0.805856,2.41838,-5.76434,0.256353,3.10338,-3.52555,3.7063,-3.45148,1.0311,-1.31978,2.70197,-6.08657,0.150435,3.08738,-0.52229,1.00269,1.45031
-42.1664,0.248858,0.2,4,21,1,56.4301,4.38581,0.623968,-1.38634,7.99741,-2.60162,0.186017,4.69444,2.26952,-2.35863,-1.10085,1.6694,-4.19682,-0.407119,2.79882,-2.36885,3.79484,-3.50231,0.864121,-1.62389,1.94321,-4.75726,0.295994,3.49313,-0.56549,1.51747,1.9137
-38.9284,0.139728,0.2,3,11,1,52.8718,3.10972,0.851244,-1.30804,7.88217,-2.76942,0.234491,4.89741,2.58011,-2.15484,-1.06872,1.75302,-4.22975,-0.567252,2.88237,-2.38289,3.78826,-3.00826,0.587573,-1.76945,1.65288,-4.8848,0.46891,3.3511,-0.301224,1.46595,2.17722
-38.8575,0.129267,0.2,5,31,0,45.4165,2.84978,0.157443,-1.28609,7.74265,-2.46431,-0.1147,4.24921,2.60374,-3.11271,-0.759809,1.77467,-4.3126,-1.20824,3.11093,-2.13643,3.52097,-3.24016,1.25579,-1.86716,2.66961,-4.69808,-0.044388,3.534,-1.44982,0.877604,1.67104
-44.1617,0.893245,0.2,6,63,0,52.8308,3.9551,1.08308,-0.169546,-5.57419,0.665066,3.33283,-1.87752,6.98428,3.03757,3.41857,5.31575,-4.78301,-3.9199,3.83404,4.37657,0.321697,-3.33336,-1.88468,0.5368,2.68357,-3.35895,-0.672506,6.97864,-1.26787,1.53232,4.23845
-34.0335,0.98919,0.2,6,63,0,51.6583,2.70022,-0.788264,0.550104,1.89695,0.18025,-3.56455,1.07455,-3.21291,-2.49457,-2.45338,-2.77631,2.40578,2.94809,-1.86547,-4.11212,-0.843536,4.02751,-0.479946,-2.10883,-2.32141,1.50274,-0.340344,-3.82618,0.731368,-0.624574,-3.77414
-31.7328,0.974824,0.2,5,31,0,41.6333,1.90582,-2.63187,2.51438,2.29571,0.533888,-1.82134,2.54539,-0.992238,-1.60844,0.67998,-3.48242,2.44805,-0.639683,1.03225,-3.59446,0.261251,3.76369,-1.5511,-2.18685,2.12186,1.17194,0.247271,-2.66844,3.2593,1.26526,-2.18214
-32.3171,0.227348,0.2,4,19,1,42.7008,2.04656,-3.43558,1.75408,1.6276,0.459283,-1.10798,1.6075,-1.53428,-1.39676,0.664489,-2.7689,3.43881,-0.943968,1.03455,-4.22307,0.129375,2.45176,-0.444174,-2.82068,2.42112,1.76163,0.790694,-2.67927,3.591,2.72012,-2.82045
-37.6062,0.313774,0.2,5,51,0,46.1031,2.48254,-5.84707,2.44758,1.61112,-1.04137,-3.90958,1.66743,-1.61025,-0.988348,3.1058,-0.951615,4.26843,-0.871043,0.845052,-4.10121,-0.917777,1.04776,0.2158,-1.57295,2.42424,3.23963,-0.908673,-4.72625,5.36952,0.231264,-2.21084
-28.3077,0.996663,0.2,5,31,0,43.0279,1.72091,-2.24786,0.142196,-1.86191,-0.890929,-3.13916,0.440539,-0.434202,2.44607,0.984874,-1.66136,1.00126,-2.24345,1.58366,-1.45663,2.15623,3.43972,-2.57735,-1.85484,2.11462,1.9942,-0.601895,0.730627,2.47257,-2.64872,0.733451
-22.8772,0.989775,0.2,5,31,0,38.5746,1.52354,-0.920185,1.26411,0.371637,1.12736,1.4305,-0.660712,1.03905,0.958073,0.142253,-0.385988,-0.367453,1.4113,-2.57759,-0.785695,0.281325,-4.38717,0.102407,-0.758297,-3.81553,-1.90441,-0.67155,1.31742,-0.635976,-0.0427508,0.337233
-11.7644,0.954569,0.2,5,31,0,29.2704,0.950515,-1.71655,0.0408226,-0.148816,0.00629191,-0.871661,2.19474,-0.372419,-0.798046,-0.221391,0.01367,-0.566963,0.321932,1.76411,-1.89417,-0.44719,-1.0147,0.560004,-1.59166,-0.653436,1.02501,0.0260277,0.678105,0.622033,-0.664177,-0.168228
-16.0899,0.140279,0.2,4,23,1,27.1238,1.45669,-1.64336,-0.718496,1.07141,0.220294,-0.43561,1.58654,-0.0844256,-1.67509,0.0712719,-0.977242,-1.4943,0.7424,1.7191,-2.58579,-0.912126,-1.16596,-0.0244736,-1.7196,-0.426452,0.619677,0.161059,0.419823,0.141507,0.451181,-0.0987332
-9.47216,0.360444,0.2,4,26,1,29.9469,0.863411,-0.442441,-0.713422,0.920823,-1.01032,1.4507,0.228474,0.905,-0.85485,-1.67453,-0.0449889,-0.497286,0.396235,0.812536,-0.15435,0.563834,-1.77166,0.905045,0.243292,0.289111,0.165966,1.4623,-0.300206,1.3051,0.716585,0.500398
-16.3069,0.758609,0.2,4,15,0,24.5608,1.42681,0.593452,1.067,-1.11176,1.26954,-1.88995,-0.58116,-1.08601,1.01233,2.22627,0.0376024,0.635896,-0.81778,-1.07775,-0.00300222,-0.651293,2.18868,-1.07834,-0.514149,-0.249802,-0.0693833,-1.75917,0.270721,-1.58297,-0.868832,-0.64728
-18.8846,0.526179,0.2,4,31,0,30.8322,1.17275,-0.455166,0.468003,-0.950581,-1.24671,-1.41932,0.391748,-1.83985,-0.729031,-2.16255,-0.150907,-0.412052,-1.99674,0.959122,-1.60302,-1.37028,0.699191,2.52105,1.61575,1.1611,-1.52703,-0.917458,-0.228648,-0.302306,-1.36467,1.42858
-17.0819,0.662243,0.2,5,31,0,30.1983,0.980495,0.487566,-0.918219,0.170011,1.35271,0.36821,-0.127647,1.65795,0.678559,1.13025,-0.250334,0.728412,2.12852,-0.21473,1.30529,0.284279,-0.890891,-2.63381,-2.14013,-1.24599,0.910845,1.54516,0.236837,-0.670296,0.914904,-0.833469
-16.3091,0.844107,0.2,5,31,0,28.1666,0.949728,0.401752,-0.331437,-0.637373,0.859173,1.2968,-2.11499,2.05289,0.428391,0.813305,0.651884,-0.285773,1.60603,-0.456733,-0.000818867,0.377915,-0.810982,-1.82027,-2.41192,-1.3605,-0.489122,0.57447,0.0133706,-0.297638,1.56942,-0.857918
-25.5482,0.33982,0.2,5,31,0,36.1353,2.13968,0.524263,-1.85322,1.43687,-3.15631,0.255956,0.977431,1.71124,-0.33532,2.0793,-2.5455,0.883911,1.14432,0.952598,-0.791287,-1.68853,1.59826,0.943389,1.05069,0.152917,-3.4289,-0.00942991,-0.541059,-1.3114,0.232971,2.9953
