xs,wide_likelihoods,normal_mixture_prior,normal_mixture_posterior,laplace_prior,laplace_posterior,cauchy_prior,cauchy_posterior
-5,5.69521628262375e-18,0.00880274820874354,3.20956188102051e-17,0.00336897349954273,1.30974268469332e-15,0.0122426879301458,7.17513659747317e-17
-4.975,6.14082783687171e-18,0.00881387766090223,3.46506345405215e-17,0.00345425946972727,1.44797159945083e-15,0.012361248947697,7.81146420812291e-17
-4.95,6.62130083625148e-18,0.0088249844356261,3.74088640456413e-17,0.00354170446452606,1.60078794203786e-15,0.0124815169565255,8.50459944788874e-17
-4.925,7.13936222985136e-18,0.00883607060151052,4.03864655103232e-17,0.00363136313990745,1.7697310201506e-15,0.0126035244102568,9.25965053988609e-17
-4.9,7.69795224735952e-18,0.00884713848300391,4.36008835579113e-17,0.00372329153546217,1.95650256131565e-15,0.0127273045255414,1.00821886832612e-16
-4.875,8.30024107799906e-18,0.00885819068726619,4.70709521920134e-17,0.00381754710942998,2.16298384928823e-15,0.0128528913033203,1.09782903773525e-16
-4.85,8.94964685361541e-18,0.00886923013360683,5.08170060906514e-17,0.00391418877461289,2.39125466831952e-15,0.0129803195507714,1.1954583651597e-16
-4.825,9.64985503787438e-18,0.00888026008572235,5.48610009530105e-17,0.00401327693519758,2.643614246006e-15,0.0131096249039632,1.3018298565326e-16
-4.8,1.0404839331502e-17,0.0088912841869682,5.9226643661661e-17,0.00411487352451002,2.92260440555147e-15,0.0132408438512392,1.41773223759319e-16
-4.775,1.12188842120904e-17,0.00890230649891692,6.3939533092151e-17,0.00421904204372577,3.2310351605109e-15,0.013374013757361,1.54402598114957e-16
-4.75,1.20966092362561e-17,0.00891333154347103,6.90273124779044e-17,0.00432584760156032,3.57201300966915e-15,0.0135091728884367,1.68164989251661e-16
-4.725,1.30429952419317e-17,0.00892436434881752,7.45198343222812e-17,0.00443535695496413,3.94897221688611e-15,0.0136463604376642,1.83162830537275e-16
-4.7,1.40634125993349e-17,0.00893541049952917,8.04493389423084e-17,0.00454763855084791,4.36570939078269e-15,0.0137856165519182,1.99507894522622e-16
-4.675,1.51636516707767e-17,0.00894647619113755,8.68506478311351e-17,0.00466276256886416,4.82642171235485e-15,0.0139269823592131,2.17322152310184e-16
-4.65,1.63499556519854e-17,0.00895756828952264,9.37613731398477e-17,0.00478080096527175,5.33574919531932e-15,0.0140704999970733,2.36738712800193e-16
-4.625,1.76290559811208e-17,0.00896869439548497,1.01222144705266e-16,0.00490182751791091,5.89882140458072e-15,0.0142162126418441,2.57902849320613e-16
-4.6,1.90082105162084e-17,0.00897986291488773,1.09276856190377e-16,0.00502591787231679,6.52130910308117e-15,0.0143641645389797,2.8097312186159e-16
-4.575,2.04952446974108e-17,0.00899108313477833,1.17972932059782e-16,0.00515314958900037,7.2094813468921e-15,0.0145144010343431,3.06122603917505e-16
-4.55,2.20985959274683e-17,0.00900236530592197,1.27361617286127e-16,0.00528360219192633,7.97026860324153e-15,0.0146669686065564,3.33540223798104e-16
-4.525,2.38273614218824e-17,0.00901372073220272,1.37498291877115e-16,0.00541735721821808,8.81133252678561e-15,0.0148219149004413,3.63432231211269e-16
-4.5,2.56913498000736e-17,0.00902516186737138,1.48442812529115e-16,0.00555449826912115,9.74114309643931e-15,0.0149792887615901,3.96023800952085e-16
-4.475,2.77011367099521e-17,0.0090367024196437,1.60259883955547e-16,0.00569511106225669,1.076906388916e-14,0.0151391402721104,4.31560786665103e-16
-4.45,2.98681248011902e-17,0.00904835746467633,1.73019462709518e-16,0.00583928348519772,1.19054463489615e-14,0.0153015207875876,4.70311638888412e-16
-4.425,3.22046083871313e-17,0.00906014356747264,1.86797196624662e-16,0.00598710565040181,1.31617339999618e-14,0.0154664829753125,5.12569502950669e-16
