likelihood_peaks,unif_posterior_means,unif_posterior_sds,normal_means,normal_sds,normal_mixture_means,normal_mixture_sds,laplace_means,laplace_sds,cauchy_means,cauchy_sds
1.55511022044088,1.55511022044088,1,0.777555110220441,0.707106781186548,0.837160232492729,0.761711428633994,0.842060566512627,0.816789587882163,0.926480574543796,0.858408110825557
1.57114228456914,1.57114228456914,1,0.785571142284569,0.707106781186548,0.84647606411896,0.762858473512062,0.852784532597671,0.818945607949061,0.938328313715273,0.860898638325728
1.58717434869739,1.58717434869739,1,0.793587174348697,0.707106781186548,0.855820288495261,0.764033034212722,0.863565150436786,0.821104378557562,0.950244963884069,0.863400838458959
1.60320641282565,1.60320641282565,1,0.801603206412826,0.707106781186548,0.865193630667727,0.765235703042384,0.874402634892219,0.823265376911295,0.96223104105961,0.865914173918736
1.61923847695391,1.61923847695391,1,0.809619238476954,0.707106781186548,0.874596833529614,0.76646708227356,0.885297187519157,0.825428079821967,0.974287048941378,0.868438098703692
1.63527054108216,1.63527054108216,1,0.817635270541082,0.707106781186548,0.884030658235469,0.767727784078238,0.896248996413829,0.827591963940233,0.986413478514535,0.870972058214701
1.65130260521042,1.65130260521042,1,0.82565130260521,0.707106781186548,0.893495884620942,0.769018430444183,0.907258236067406,0.829756505990859,0.998610807643065,0.873515489363529
1.66733466933868,1.66733466933868,1,0.833667334669339,0.707106781186548,0.902993311628084,0.770339653073139,0.918325067226014,0.831921183012071,1.01087950066086,0.876067820693298
1.68336673346693,1.68336673346693,1,0.841683366733467,0.707106781186548,0.912523757735914,0.771692093259862,0.929449636757149,0.834085472598893,1.02322000796124,0.878628472511007
1.69939879759519,1.69939879759519,1,0.849699398797595,0.707106781186548,0.922088061395993,0.773076401750911,0.940632077522786,0.836248853150343,1.03563276558529,0.881196857032333
1.71543086172345,1.71543086172345,1,0.857715430861723,0.707106781186548,0.931687081472755,0.774493238582058,0.95187250825948,0.83841080412029,1.04811819480965,0.88377237853893
1.7314629258517,1.7314629258517,1,0.865731462925852,0.707106781186548,0.941321697688269,0.775943272893154,0.963171033465737,0.840570806271776,1.06067670173409,0.886354433548418
1.74749498997996,1.74749498997996,1,0.87374749498998,0.707106781186547,0.950992811071088,0.777427182719275,0.974527743296942,0.842728341934614,1.07330867686963,0.888942410997252
1.76352705410822,1.76352705410822,1,0.881763527054108,0.707106781186547,0.96070134440883,0.778945654756907,0.985942713468119,0.844882895266026,1.08601449472748,0.89153569243663
1.77955911823647,1.77955911823647,1,0.889779559118236,0.707106781186547,0.970448242704058,0.780499384103918,0.9974160051648,0.84703395251411,1.09879451340959,0.894133652241597
1.79559118236473,1.79559118236473,1,0.897795591182365,0.707106781186547,0.98023447363302,0.782089073972041,1.00894766496226,0.849181002283879,1.11164907420131,0.896735657833465
1.81162324649299,1.81162324649299,1,0.905811623246493,0.707106781186547,0.99006102800675,0.783715435370536,1.02053772475336,0.851323535805633,1.12457850116675,0.899341069915653
1.82765531062124,1.82765531062124,1,0.913827655310621,0.707106781186547,0.999928920233997,0.785379186759712,1.03218620168534,0.853461047205387,1.13758310074746,0.901949242723055
1.8436873747495,1.8436873747495,1,0.92184368737475,0.707106781186548,1.00983918878539,0.78708105367292,1.04389309810559,0.85559303377709,1.1506631613651,0.904559524284966
1.85971943887776,1.85971943887776,1,0.929859719438878,0.707106781186547,1.01979289665824,0.788821768305646,1.05565840151695,0.857718996256333,1.16381895302873,0.907171256701644
1.87575150300601,1.87575150300601,1,0.937875751503006,0.707106781186547,1.0297911318412,0.790602069070276,1.06748208454242,0.859838439095272,1.17705072694729,0.909783776434486
1.89178356713427,1.89178356713427,1,0.945891783567134,0.707106781186547,1.03983500777821,0.792422700115122,1.07936410489977,0.86195087073843,1.19035871514819,0.912396414609837
1.90781563126252,1.90781563126252,1,0.953907815631262,0.707106781186547,1.04992566383075,0.794284410806255,1.09130440538605,0.864055803899084,1.20374313010235,0.915008497336385
