xs,containment_like,contraction_like,compromise_like,normal_prior,normal_post_containment,normal_post_contraction,normal_post_compromise,unif_prior,unif_post_containment,unif_post_contraction,unif_post_compromise
-17.825,3.07744425888934e-05,0,0,1.12537671246385e-18,5.00792284287478e-22,0,0,0,0,0,0
-17.8,3.13902413456971e-05,0,0,1.2579028884757e-18,5.70967355856486e-22,0,0,0,0,0,0
-17.775,3.20175618298069e-05,0,0,1.40581588474204e-18,6.50857948216062e-22,0,0,0,0,0,0
-17.75,3.26566026189453e-05,0,0,1.57087605433243e-18,7.41792487708899e-22,0,0,0,0,0,0
-17.725,3.33075653690098e-05,0,0,1.75504208226373e-18,8.45278714733283e-22,0,0,0,0,0,0
-17.7,3.39706548551437e-05,0,0,1.96049297628207e-18,9.63027567323933e-22,0,0,0,0,0,0
-17.675,3.4646079013233e-05,0,0,2.18965245552643e-18,1.09698020220033e-21,0,0,0,0,0,0
-17.65,3.5334048981831e-05,0,0,2.44521599399738e-18,1.24933855955897e-21,0,0,0,0,0,0
-17.625,3.60347791445114e-05,0,0,2.7301808027794e-18,1.42259992971443e-21,0,0,0,0,0,0
-17.6,3.67484871726553e-05,0,0,3.04787906478121e-18,1.61959603803402e-21,0,0,0,0,0,0
-17.575,3.7475394068671e-05,0,0,3.4020147686398e-18,1.8435372302618e-21,0,0,0,0,0,0
-17.55,3.82157242096495e-05,0,0,3.79670452469907e-18,2.09806241419768e-21,0,0,0,0,0,0
-17.525,3.89697053914595e-05,0,0,4.23652278595718e-18,2.38729549679369e-21,0,0,0,0,0,0
